library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-1,2022-04-13_thaw-1_antibody_LyCoV-1404_0.654_1,2022-04-13_thaw-1_no-antibody_control_1,LyCoV-1404,0.654,384064,0.05127,6889,0.0008782
Lib-1,2022-04-13_thaw-1_antibody_LyCoV-1404_2.616_1,2022-04-13_thaw-1_no-antibody_control_1,LyCoV-1404,2.616,494162,0.07398,6889,0.0008782
Lib-1,2022-04-13_thaw-1_antibody_LyCoV-1404_10.464_1,2022-04-13_thaw-1_no-antibody_control_1,LyCoV-1404,10.46,554604,0.1153,6889,0.0008782
