library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-3,2022-06-22_thaw-1_antibody_CC67.105_52.5_1,2022-06-22_thaw-1_no-antibody_control_1,CC67.105,52.5,878997,0.06672,246612,0.003388
Lib-3,2022-06-22_thaw-1_antibody_CC67.105_210.0_1,2022-06-22_thaw-1_no-antibody_control_1,CC67.105,210,1029230,0.07991,246612,0.003388
Lib-3,2022-06-22_thaw-1_antibody_CC67.105_420.0_1,2022-06-22_thaw-1_no-antibody_control_1,CC67.105,420,1528460,0.1118,246612,0.003388
