library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-3,2022-06-22_thaw-1_antibody_LyCoV-1404_0.654_1,2022-06-22_thaw-1_no-antibody_control_1,LyCoV-1404,0.654,939350,0.06826,246612,0.003388
Lib-3,2022-06-22_thaw-1_antibody_LyCoV-1404_2.616_1,2022-06-22_thaw-1_no-antibody_control_1,LyCoV-1404,2.616,1619839,0.1192,246612,0.003388
Lib-3,2022-06-22_thaw-1_antibody_LyCoV-1404_10.464_1,2022-06-22_thaw-1_no-antibody_control_1,LyCoV-1404,10.46,2159135,0.1572,246612,0.003388
